round,file,fitness,instructions
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_0.S,0.0,2
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_1.S,0.0,37
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_10.S,0.0,6
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_11.S,0.35,14
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_12.S,0.2,17
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_13.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_14.S,0.0,9
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_15.S,0.0,52
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_16.S,0.0,15
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_17.S,0.0,12
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_18.S,0.0,60
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_19.S,0.0,4
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.0,31
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_20.S,0.0,8
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_21.S,0.0,64
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.0,4
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_23.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_24.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.0,6
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_27.S,0.0,35
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_28.S,0.0,32
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_29.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.0,55
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_30.S,0.0,6
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_31.S,0.0,22
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_32.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_33.S,0.0,8
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_34.S,0.0,42
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_35.S,0.0,9
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.0,8
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.0,5
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.0,12
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.0,9
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_42.S,0.0,6
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.0,17
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.0,59
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_45.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_46.S,0.0,11
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_47.S,0.0,8
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_48.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.0,35
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.0,17
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.0,14
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_51.S,0.0,4
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.0,15
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_53.S,0.0,4
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.0,96
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_55.S,0.0,55
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.0,3
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_57.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_58.S,0.2,18
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.0,32
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_6.S,0.0,25
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_60.S,0.0,15
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_61.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_62.S,0.35,18
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_63.S,0.0,4
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_64.S,0.0,35
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_65.S,0.0,9
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.0,26
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_67.S,0.55,51
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_68.S,0.0,5
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_69.S,0.0,4
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_7.S,0.0,54
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.0,8
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_72.S,0.0,13
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.0,72
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_74.S,0.0,36
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_75.S,0.2,5
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_76.S,0.0,8
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_78.S,0.0,30
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_79.S,0.0,19
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_8.S,0.0,26
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_80.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_82.S,0.0,4
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_83.S,0.0,6
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_84.S,0.0,8
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_85.S,0.0,6
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_86.S,0.0,47
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_87.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_88.S,0.0,12
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_89.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_9.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_90.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_91.S,0.0,0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_92.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_93.S,0.35,19
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_94.S,0.0,12
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_95.S,0.0,1
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_96.S,0.0,37
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_97.S,0.0,6
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_98.S,0.0,16
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_99.S,0.0,24
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_0.S,0.0,2
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_1.S,0.0,9
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_10.S,0.0,4
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_11.S,0.35,14
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_12.S,0.2,17
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_13.S,0.0,10
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_14.S,0.5,80
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_15.S,0.0,5
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_16.S,0.0,6
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_17.S,0.0,6
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_18.S,0.0,22
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_19.S,0.0,6
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.0,38
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_20.S,0.01,103
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_21.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.0,19
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_23.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_24.S,0.35,13
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.0,36
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.0,94
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_27.S,0.0,17
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_28.S,0.0,38
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_29.S,0.0,29
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_30.S,0.0,9
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_31.S,0.0,12
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_32.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_33.S,0.0,2
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_34.S,0.0,15
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_35.S,0.0,1
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.0,29
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.0,3
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.0,49
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.0,2
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.0,13
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_42.S,0.0,11
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.35,12
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_45.S,0.0,25
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_46.S,0.0,17
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_47.S,0.0,16
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_48.S,0.0,78
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.0,3
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.0,1
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_51.S,0.0,20
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.01,111
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_53.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.0,64
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_55.S,0.5,82
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.0,11
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_57.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_58.S,0.2,18
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_6.S,0.0,28
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_60.S,0.0,1
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_61.S,0.0,7
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_62.S,0.35,18
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_63.S,0.0,69
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_64.S,0.0,6
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_65.S,0.0,65
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.0,17
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_67.S,0.55,51
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_68.S,0.0,10
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_69.S,0.0,4
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_7.S,0.35,12
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.0,10
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_72.S,0.0,11
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.0,6
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_74.S,0.0,39
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_75.S,0.2,5
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_76.S,0.0,24
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.0,8
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_78.S,0.0,19
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_79.S,0.0,21
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_8.S,0.0,16
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_80.S,0.35,22
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_82.S,0.0,29
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_83.S,0.0,3
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_84.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_85.S,0.0,27
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_86.S,0.0,6
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_87.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_88.S,0.0,8
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_89.S,0.0,18
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_9.S,0.0,19
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_90.S,0.0,8
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_91.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_92.S,0.0,0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_93.S,0.35,19
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_94.S,0.85,15
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_95.S,0.0,10
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_96.S,0.0,13
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_97.S,0.0,4
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_98.S,0.0,17
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_99.S,0.0,11
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_0.S,0.0,2
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_1.S,0.0,39
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_10.S,0.0,59
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_11.S,0.35,14
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_12.S,0.2,17
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_13.S,0.0,3
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_14.S,0.5,80
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_15.S,0.2,13
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_16.S,0.0,12
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_17.S,0.0,4
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_18.S,0.0,13
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_19.S,0.35,12
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.0,13
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_20.S,0.0,0
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_21.S,0.0,19
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.0,20
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_23.S,0.0,2
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_24.S,0.35,13
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.0,6
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.0,28
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_27.S,0.0,26
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_28.S,0.85,36
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_29.S,0.0,6
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_30.S,0.5,39
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_31.S,0.0,63
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_32.S,0.0,0
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_33.S,0.0,16
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_34.S,0.0,4
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_35.S,0.0,52
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.0,12
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.0,68
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.0,2
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.0,16
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.0,11
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.0,32
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_42.S,0.0,8
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.0,30
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.0,7
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_45.S,0.0,11
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_46.S,0.0,8
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_47.S,0.0,16
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_48.S,0.0,15
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.0,60
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.85,21
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.2,13
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_51.S,0.0,2
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.2,36
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_53.S,0.0,25
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.0,0
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_55.S,0.5,82
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.0,13
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_57.S,0.0,17
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_58.S,0.2,18
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_6.S,0.0,41
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_60.S,0.0,15
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_61.S,0.0,41
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_62.S,0.35,18
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_63.S,0.0,10
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_64.S,0.0,10
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_65.S,0.0,26
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.0,58
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_67.S,0.55,51
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_68.S,0.0,17
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_69.S,0.0,4
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_7.S,0.0,0
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.0,17
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.0,3
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_72.S,0.0,9
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.0,11
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_74.S,0.0,9
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_75.S,0.2,5
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_76.S,0.0,0
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.0,8
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_78.S,0.0,0
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_79.S,0.0,10
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_8.S,0.0,3
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_80.S,0.35,22
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.0,9
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_82.S,0.0,2
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_83.S,0.35,21
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_84.S,0.0,1
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_85.S,0.0,0
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_86.S,0.0,28
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_87.S,0.0,9
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_88.S,0.0,20
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_89.S,0.0,69
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_9.S,0.0,9
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_90.S,0.0,32
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_91.S,0.0,4
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_92.S,0.0,16
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_93.S,0.35,19
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_94.S,0.85,15
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_95.S,0.0,10
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_96.S,0.0,1
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_97.S,0.0,36
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_98.S,0.0,16
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_99.S,0.0,2
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_0.S,0.0,2
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_1.S,0.5,34
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_10.S,0.0,35
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_11.S,0.35,14
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_12.S,0.2,17
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_13.S,0.0,60
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_14.S,0.5,80
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_15.S,0.35,33
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_16.S,0.85,28
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_17.S,0.5,47
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_18.S,0.0,5
