round,file,fitness,instructions,normalized_fitness
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36,0.2413793103448275
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_67.S,0.55,51,0.1896551724137931
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_11.S,0.35,14,0.1206896551724137
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_93.S,0.35,19,0.1206896551724137
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_62.S,0.35,18,0.1206896551724137
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_58.S,0.2,18,0.0689655172413793
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_12.S,0.2,17,0.0689655172413793
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_75.S,0.2,5,0.0689655172413793
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_0.S,0.0,2,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_69.S,0.0,4,0.0
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.108998732572877
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.108998732572877
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_94.S,0.85,15,0.1077313054499366
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36,0.0887198986058301
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_67.S,0.55,51,0.0697084917617237
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_14.S,0.5,80,0.0633713561470215
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_55.S,0.5,82,0.0633713561470215
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_24.S,0.35,13,0.044359949302915
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_11.S,0.35,14,0.044359949302915
2,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_80.S,0.35,22,0.044359949302915
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0805998125585754
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0805998125585754
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_28.S,0.85,36,0.0796626054358013
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.85,21,0.0796626054358013
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_94.S,0.85,15,0.0796626054358013
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36,0.0656044985941893
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_67.S,0.55,51,0.0515463917525773
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_14.S,0.5,80,0.0468603561387066
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_55.S,0.5,82,0.0468603561387066
3,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_30.S,0.5,39,0.0468603561387066
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0577181208053691
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0577181208053691
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_60.S,0.85,27,0.0570469798657718
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.85,17,0.0570469798657718
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_28.S,0.85,36,0.0570469798657718
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.85,21,0.0570469798657718
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_94.S,0.85,15,0.0570469798657718
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_16.S,0.85,28,0.0570469798657718
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36,0.046979865771812
4,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_74.S,0.7,66,0.046979865771812
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0389669234254644
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0389669234254644
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_64.S,0.85,28,0.0385138196647032
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_28.S,0.85,36,0.0385138196647032
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_98.S,0.85,34,0.0385138196647032
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_60.S,0.85,27,0.0385138196647032
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.85,17,0.0385138196647032
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.85,21,0.0385138196647032
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_96.S,0.85,41,0.0385138196647032
5,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_16.S,0.85,28,0.0385138196647032
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0336197235711617
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0321255136346656
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0321255136346656
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_31.S,0.85,62,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.85,17,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.85,21,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_76.S,0.85,39,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_47.S,0.85,46,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.85,49,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_83.S,0.85,33,0.0317519611505416
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.0280548628428927
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0280548628428927
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0268079800498753
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0268079800498753
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.86,131,0.0268079800498753
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_99.S,0.85,20,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_86.S,0.85,47,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_61.S,0.85,53,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_60.S,0.85,27,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.85,49,0.0264962593516209
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0248002204464039
